loss,params,iteration,estimators,train_time
0.23619127408499518,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8093302901105419, 'learning_rate': 0.13329433778740934, 'min_child_samples': 260, 'num_leaves': 72, 'reg_alpha': 0.5756662891302584, 'reg_lambda': 0.963500696811953, 'subsample_for_bin': 20000, 'subsample': 0.5934032485212357}",66,17,1.9409935000003316
0.2402721060468116,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7721840736345276, 'learning_rate': 0.09408058332425566, 'min_child_samples': 215, 'num_leaves': 51, 'reg_alpha': 0.6200553569950623, 'reg_lambda': 0.9893331782065503, 'subsample_for_bin': 20000, 'subsample': 0.6923138438476912}",67,23,2.1733188999996855
0.24567874294061698,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7325434672801496, 'learning_rate': 0.17721228889762367, 'min_child_samples': 185, 'num_leaves': 63, 'reg_alpha': 0.689764734525928, 'reg_lambda': 0.7823273827857298, 'subsample_for_bin': 60000, 'subsample': 0.5401989795483477}",68,4,1.8449522999999317
0.25006363242664253,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7623807440883316, 'learning_rate': 0.11462753510400055, 'min_child_samples': 90, 'num_leaves': 68, 'reg_alpha': 0.7680466684349776, 'reg_lambda': 0.945396554213728, 'subsample_for_bin': 40000, 'subsample': 0.6102530541611829}",69,13,2.7476377000002685
0.23526645537249857,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7258257081470649, 'learning_rate': 0.07099631154713852, 'min_child_samples': 280, 'num_leaves': 77, 'reg_alpha': 0.5026433123801513, 'reg_lambda': 0.9026237515182737, 'subsample_for_bin': 40000, 'subsample': 0.6384270218145534}",70,35,1.8065796999999293
0.23951879110976637,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6782078801288377, 'learning_rate': 0.07087014295877467, 'min_child_samples': 290, 'num_leaves': 77, 'reg_alpha': 0.5218620600849652, 'reg_lambda': 0.8322251677776744, 'subsample_for_bin': 80000, 'subsample': 0.633447038555252}",71,30,1.8260844000005818
0.24161325651305643,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7039309001814407, 'learning_rate': 0.08400343203505123, 'min_child_samples': 335, 'num_leaves': 93, 'reg_alpha': 0.5517584991417421, 'reg_lambda': 0.9008314423963993, 'subsample_for_bin': 60000, 'subsample': 0.7648013494085205}",72,22,1.9710845999998128
0.24130423991344896,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6468675485166867, 'learning_rate': 0.05248732646958297, 'min_child_samples': 320, 'num_leaves': 55, 'reg_alpha': 0.6463465055690292, 'reg_lambda': 0.6627329473999867, 'subsample_for_bin': 40000, 'subsample': 0.7341852056076005}",73,61,2.0019579999998314
0.23697454686113895,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7210188326438938, 'learning_rate': 0.06026039416776578, 'min_child_samples': 280, 'num_leaves': 100, 'reg_alpha': 0.500686691684887, 'reg_lambda': 0.8601081979269987, 'subsample_for_bin': 80000, 'subsample': 0.6976565408977686}",74,19,1.688859500000035
0.23659075137414276,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.739796055150533, 'learning_rate': 0.09983497675849332, 'min_child_samples': 270, 'num_leaves': 34, 'reg_alpha': 0.42751905386000943, 'reg_lambda': 0.8016047280050413, 'subsample_for_bin': 140000, 'subsample': 0.6768283156160768}",75,22,1.7261787999996159
